application_id,customer_id,application_date,loan_type,loan_purpose,requested_amount,loan_term_months,interest_rate,applicant_monthly_income,existing_emi,debt_to_income_ratio,collateral_flag,approval_status,approved_amount,decision_date,disbursed_flag,loan_default,first_name,last_name,gender,date_of_birth,age,marital_status,dependents,education,employment_type,occupation,annual_income,city,state,residence_type,years_at_residence,email,phone,kyc_status,customer_since,credit_id,as_of_date,credit_score,num_open_accounts,num_credit_inquiries_6m,credit_utilization_ratio,num_late_payments_30d,num_late_payments_90d,num_defaults_prior,bankruptcies,total_credit_limit,total_outstanding_debt,oldest_account_age_months,default_probability,risk_score,risk_band
APP800006,CUST102505,22-07-2022,Personal,Wedding,838000,84,19.18,35200,4300,0.64,0,Approved,590000,08-08-2022,1,0,Rohan,Mehta,Male,13-02-1988,38,Single,1,Graduate,Salaried,Bank Officer,422000,Delhi,Delhi,Mortgaged,6,rohan.mehta422@gmail.com,-9175476430,Verified,03-08-2020,CR502505,30-06-2024,614,1,0,0.2,1,0,0,0,254000,50800,190,0.320107494,68,Medium Risk
APP800009,CUST102299,19-01-2024,Gold,Gold Loan,137000,24,13.22,140600,15700,0.158,1,Approved,111000,21-01-2024,1,0,Anjali,Banerjee,Female,24-06-1977,49,Widowed,2,Post Graduate,Salaried,Software Engineer,1687800,Mysuru,Karnataka,Mortgaged,1,anjali.banerjee531@yahoo.in,-9048000705,Verified,24-10-2017,CR502299,30-06-2024,795,5,0,0.502,0,0,0,0,595000,298700,305,0.098434759,90.2,Low Risk
APP800011,CUST101028,27-03-2024,Education,Skill Certification,1041000,48,10.3,30800,6500,1.074,0,Approved,926000,30-03-2024,1,0,Neha,Nair,Female,28-04-1974,52,Single,2,Diploma,Retired,Retired Government Employee,369300,Mysuru,Karnataka,Rented,4,neha.nair897@gmail.com,-8432287091,Verified,13-12-2023,CR501028,30-06-2024,664,3,1,0.235,0,0,0,0,142000,33400,370,0.57242229,42.8,Medium Risk
APP800012,CUST102620,23-08-2022,Auto,New Car,439000,60,12.96,17500,4600,0.833,1,Approved,316000,28-08-2022,1,1,Vivaan,Mehta,Male,30-06-1983,43,Married,2,High School,Salaried,Sales Executive,210000,Bengaluru,Karnataka,Rented,24,vivaan.mehta150@outlook.com,-9329085424,Pending,07-10-2015,CR502620,30-06-2024,627,1,5,0.299,3,0,0,0,113000,33800,251,0.564693954,43.5,Medium Risk
APP800019,CUST102542,13-09-2022,Home,Home Purchase,2180000,240,9.07,40600,4700,0.601,1,Approved,1984000,01-10-2022,1,0,Diya,Kaur,Female,25-06-1993,33,Married,1,Graduate,Retired,Pensioner,487600,Indore,Madhya Pradesh,Owned,15,diya.kaur278@gmail.com,-9777489990,Verified,03-07-2017,CR502542,30-06-2024,651,4,4,0.417,0,0,0,0,250000,104200,136,0.584867501,41.5,Medium Risk
APP800020,CUST100604,28-02-2024,Education,Skill Certification,510000,84,10.35,84000,23000,0.376,0,Approved,436000,05-03-2024,1,0,Farhan,Ahmed,Male,12-07-1987,38,Married,1,Post Graduate,Salaried,Software Engineer,1007500,Mumbai,Maharashtra,Rented,7,farhan.ahmed649@yahoo.in,-7482978640,Verified,25-10-2020,CR500604,30-06-2024,766,4,1,0.057,0,0,0,0,434000,24700,171,0.135385742,86.5,Low Risk
APP800021,CUST104834,13-08-2023,Auto,New Car,719000,48,9.01,43100,3600,0.498,1,Approved,538000,23-08-2023,1,1,Vikram,Ahmed,Male,24-06-1998,28,Married,0,Graduate,Salaried,Accountant,517600,Ahmedabad,Gujarat,Owned,10,vikram.ahmed274@rediffmail.com,-9894932159,Pending,27-04-2017,CR504834,30-06-2024,568,3,3,0.668,0,0,0,0,463000,309300,83,0.470107369,53,Medium Risk
APP800022,CUST101020,17-04-2023,Gold,Gold Loan,220000,12,11.99,44800,6000,0.57,1,Approved,217000,24-04-2023,1,0,Pranav,Rao,Male,22-09-1988,37,Married,0,Graduate,Self-Employed,Chartered Accountant,537900,Pune,Maharashtra,Owned,1,pranav.rao788@yahoo.in,-7067392847,Pending,14-08-2019,CR501020,30-06-2024,708,5,0,0.412,0,0,0,0,280000,115400,191,0.543303563,45.7,Medium Risk
APP800023,CUST103865,28-04-2024,Gold,Gold Loan,302000,24,13.79,40200,8400,0.569,1,Approved,229000,06-05-2024,1,1,Deepak,Joshi,Male,23-12-1998,27,Married,2,Diploma,Self-Employed,Doctor (Practice),482400,Gurugram,Haryana,Owned,9,deepak.joshi88@gmail.com,-9786632689,Pending,29-02-2024,CR503865,30-06-2024,613,6,2,0.274,1,1,0,0,410000,112300,62,0.467607465,53.2,Medium Risk
APP800028,CUST102225,05-02-2023,Home,Home Construction,2072000,240,9.06,24500,5700,0.996,1,Approved,1551000,23-02-2023,1,0,Deepak,Sharma,Male,28-12-1991,34,Married,1,Diploma,Salaried,Nurse,294100,Gurugram,Haryana,Owned,7,deepak.sharma517@yahoo.in,-9395475504,Pending,16-06-2017,CR502225,30-06-2024,690,2,1,0.146,0,0,0,0,179000,26100,162,0.348203754,65.2,Medium Risk
APP800030,CUST100809,01-05-2024,Home,Home Purchase,10140000,84,8.95,58400,17800,3,1,Approved,9867000,02-05-2024,1,1,Ishaan,Kaur,Male,17-12-1985,40,Single,2,Post Graduate,Salaried,Accountant,701000,Chennai,Tamil Nadu,Owned,1,ishaan.kaur422@yahoo.in,-9484308933,Verified,10-05-2018,CR500809,30-06-2024,723,6,1,0.091,2,0,0,0,545000,49600,232,0.863345351,13.7,High Risk
